,site_ID,plot,horizon,top_depth.cm,bottom_depth.cm,thickness.cm,,,,,,,,,,,,,,,
990,BONA,5,Cfg'1,108.0,145.0,37.0,,,,,,,,,,,,,,,
991,BONA,5,Cfg'2,145.0,182.0,37.0,,,,,,,,,,,,,,,
93,CLBJ,1,A1,0.0,14.0,14.0,,,,,,,,,,,,,,,
94,CLBJ,1,A2,14.0,31.0,17.0,,,,,,,,,,,,,,,
95,CLBJ,1,E,31.0,40.0,9.0,,,,,,,,,,,,,,,
96,CLBJ,1,EB,40.0,45.0,5.0,,,,,,,,,,,,,,,
97,CLBJ,1,Bt,45.0,66.0,21.0,,,,,,,,,,,,,,,
98,CLBJ,2,A,0.0,13.0,13.0,,,,,,,,,,,,,,,
99,CLBJ,2,EB,13.0,20.0,7.0,,,,,,,,,,,,,,,
100,CLBJ,2,Bt1,20.0,39.0,19.0,,,,,,,,,,,,,,,
101,CLBJ,2,Bt2,39.0,72.0,33.0,,,,,,,,,,,,,,,
102,CLBJ,2,Bt3,72.0,82.0,10.0,,,,,,,,,,,,,,,
103,CLBJ,2,Bt4,82.0,86.0,4.0,,,,,,,,,,,,,,,
104,CLBJ,3,A,0.0,9.0,9.0,,,,,,,,,,,,,,,
105,CLBJ,3,E,9.0,14.5,5.5,,,,,,,,,,,,,,,
106,CLBJ,3,A',14.5,32.0,17.5,,,,,,,,,,,,,,,
107,CLBJ,3,E',32.0,42.0,10.0,,,,,,,,,,,,,,,
108,CLBJ,3,Bt1,42.0,64.0,22.0,,,,,,,,,,,,,,,
109,CLBJ,3,Bt2,64.0,85.0,21.0,,,,,,,,,,,,,,,
110,CLBJ,3,Bt3,85.0,93.0,8.0,,,,,,,,,,,,,,,
111,CLBJ,4,A,0.0,11.0,11.0,,,,,,,,,,,,,,,
112,CLBJ,4,EA,11.0,26.0,15.0,,,,,,,,,,,,,,,
113,CLBJ,4,EB,26.0,36.0,10.0,,,,,,,,,,,,,,,
114,CLBJ,4,Bt1,36.0,71.0,35.0,,,,,,,,,,,,,,,
115,CLBJ,4,Bt2,71.0,98.0,27.0,,,,,,,,,,,,,,,
116,CLBJ,5,A,0.0,5.5,5.5,,,,,,,,,,,,,,,
117,CLBJ,5,E1,5.5,18.0,12.5,,,,,,,,,,,,,,,
118,CLBJ,5,E2,18.0,36.0,18.0,,,,,,,,,,,,,,,
119,CLBJ,5,E3,36.0,53.0,17.0,,,,,,,,,,,,,,,
120,CPER,1,A,0.0,12.0,12.0,,,,,,,,,,,,,,,
121,CPER,1,AB,12.0,25.5,13.5,,,,,,,,,,,,,,,
122,CPER,1,Bw1,25.5,52.5,27.0,,,,,,,,,,,,,,,
123,CPER,1,Bw2,52.5,96.5,44.0,,,,,,,,,,,,,,,
124,CPER,1,Bg1,96.5,126.0,29.5,,,,,,,,,,,,,,,
125,CPER,1,Bg2,126.0,148.0,22.0,,,,,,,,,,,,,,,
126,CPER,1,Bg3,148.0,171.5,23.5,,,,,,,,,,,,,,,
127,CPER,2,A,0.0,13.0,13.0,,,,,,,,,,,,,,,
128,CPER,2,BA,13.0,36.5,23.5,,,,,,,,,,,,,,,
129,CPER,2,Bkt1,36.5,60.0,23.5,,,,,,,,,,,,,,,
130,CPER,2,Bkt2,60.0,88.0,28.0,,,,,,,,,,,,,,,
131,CPER,2,Bkt3,88.0,144.5,56.5,,,,,,,,,,,,,,,
132,CPER,3,A,0.0,12.5,12.5,,,,,,,,,,,,,,,
133,CPER,3,AB,12.5,35.0,22.5,,,,,,,,,,,,,,,
134,CPER,3,Bw,35.0,59.0,24.0,,,,,,,,,,,,,,,
135,CPER,3,Bk,59.0,125.0,66.0,,,,,,,,,,,,,,,
136,CPER,3,Bkt,125.0,168.0,43.0,,,,,,,,,,,,,,,
137,CPER,4,A,0.0,14.0,14.0,,,,,,,,,,,,,,,
138,CPER,4,AB,14.0,50.0,36.0,,,,,,,,,,,,,,,
139,CPER,4,Bw,50.0,122.0,72.0,,,,,,,,,,,,,,,
140,CPER,4,Bk,122.0,172.0,50.0,,,,,,,,,,,,,,,
141,CPER,5,A1,0.0,8.5,8.5,,,,,,,,,,,,,,,
142,CPER,5,A2,8.5,29.0,20.5,,,,,,,,,,,,,,,
143,CPER,5,Bw1,29.0,43.5,14.5,,,,,,,,,,,,,,,
144,CPER,5,Bw2,43.5,82.0,38.5,,,,,,,,,,,,,,,
145,CPER,5,Bk1,82.0,120.0,38.0,,,,,,,,,,,,,,,
146,CPER,5,Bk2,120.0,138.5,18.5,,,,,,,,,,,,,,,
147,DCFS,1,Oi,4.5,0.0,-4.5,,,,,,,,,,,,,,,
148,DCFS,1,A1,0.0,9.0,9.0,,,,,,,,,,,,,,,
149,DCFS,1,A2,9.0,26.0,17.0,,,,,,,,,,,,,,,
150,DCFS,1,Bw,26.0,59.0,33.0,,,,,,,,,,,,,,,
151,DCFS,1,Bk1,59.0,83.0,24.0,,,,,,,,,,,,,,,
152,DCFS,1,Bk2,83.0,104.5,21.5,,,,,,,,,,,,,,,
153,DCFS,2,A1,0.0,12.0,12.0,,,,,,,,,,,,,,,
154,DCFS,2,A2,12.0,25.0,13.0,,,,,,,,,,,,,,,
155,DCFS,2,Bw,25.0,43.0,18.0,,,,,,,,,,,,,,,
156,DCFS,2,Bk1,43.0,66.0,23.0,,,,,,,,,,,,,,,
157,DCFS,2,Bk2,66.0,99.0,33.0,,,,,,,,,,,,,,,
158,DCFS,3,Oi,2.5,0.0,-2.5,,,,,,,,,,,,,,,
159,DCFS,3,A1,0.0,12.5,12.5,,,,,,,,,,,,,,,
160,DCFS,3,A2,12.5,25.0,12.5,,,,,,,,,,,,,,,
161,DCFS,3,Bw1,25.0,51.0,26.0,,,,,,,,,,,,,,,
162,DCFS,3,Bw2,51.0,65.0,14.0,,,,,,,,,,,,,,,
163,DCFS,4,A1,0.0,19.0,19.0,,,,,,,,,,,,,,,
164,DCFS,4,BA,19.0,49.0,30.0,,,,,,,,,,,,,,,
165,DCFS,4,Bk1,49.0,89.0,40.0,,,,,,,,,,,,,,,
166,DCFS,4,Bk2,89.0,117.5,28.5,,,,,,,,,,,,,,,
167,DCFS,5,A,0.0,30.0,30.0,,,,,,,,,,,,,,,
168,DCFS,5,BA,30.0,40.0,10.0,,,,,,,,,,,,,,,
169,DCFS,5,Bk1,40.0,60.0,20.0,,,,,,,,,,,,,,,
170,DCFS,5,Bk2,60.0,112.0,52.0,,,,,,,,,,,,,,,
171,DEJU,1,Oi,0.0,1.5,1.5,,,,,,,,,,,,,,,
172,DEJU,1,O/A,1.5,5.5,4.0,,,,,,,,,,,,,,,
173,DEJU,1,Bw1,5.5,30.5,25.0,,,,,,,,,,,,,,,
174,DEJU,1,Bw2,30.5,78.5,48.0,,,,,,,,,,,,,,,
175,DEJU,2,Oi,0.0,5.0,5.0,,,,,,,,,,,,,,,
176,DEJU,2,A,5.0,9.5,4.5,,,,,,,,,,,,,,,
177,DEJU,2,Bw1,9.5,19.0,9.5,,,,,,,,,,,,,,,
178,DEJU,2,Bw2,19.0,46.0,27.0,,,,,,,,,,,,,,,
179,DEJU,2,Bw3,46.0,60.0,14.0,,,,,,,,,,,,,,,
